subject,site,cond,channel,mi_early_late_bits,reason,resample_n
2,ppc,sham,CP1,0.681839055499885,ok,128
2,ppc,sham,CP2,0.7747622796389383,ok,128
2,ppc,sham,FC5,0.6925597949286908,ok,128
2,ppc,sham,FC6,0.7078502936192175,ok,128
2,ppc,sham,CP5,0.7766351163033178,ok,128
2,ppc,sham,CP6,0.6466017431123556,ok,128
2,ppc,sham,TP9,0.6567676050805417,ok,128
2,ppc,sham,TP10,0.5991200386436161,ok,128
3,dlpfc,active,Fp1,0.7180768107266315,ok,128
3,dlpfc,active,Fp2,0.3733684856008817,ok,128
3,dlpfc,active,F3,0.7062790539726308,ok,128
3,dlpfc,active,F4,0.584268618743468,ok,128
3,dlpfc,active,C3,0.7393118152554337,ok,128
3,dlpfc,active,C4,0.7389683839855214,ok,128
3,dlpfc,active,P3,0.9967009683660379,ok,128
3,dlpfc,active,P4,0.6192454268462115,ok,128
3,dlpfc,active,O1,0.612637875568946,ok,128
3,dlpfc,active,O2,0.7837292053121633,ok,128
3,dlpfc,active,F7,0.607346366397256,ok,128
3,dlpfc,active,F8,0.6176432186381877,ok,128
3,dlpfc,active,T7,0.652547015562746,ok,128
3,dlpfc,active,T8,0.6110564155212361,ok,128
3,dlpfc,active,P7,0.7152190905035554,ok,128
3,dlpfc,active,P8,0.8005017825874622,ok,128
3,dlpfc,active,Fz,0.7335683238714511,ok,128
3,dlpfc,active,Cz,0.80671278960879,ok,128
3,dlpfc,active,Pz,0.624086548734402,ok,128
3,dlpfc,active,Iz,0.7229982132549989,ok,128
3,dlpfc,active,FC1,0.8534999077290526,ok,128
3,dlpfc,active,FC2,0.7205488510786853,ok,128
3,dlpfc,active,CP1,0.8184258259665961,ok,128
3,dlpfc,active,CP2,0.6947715399143487,ok,128
3,dlpfc,active,FC5,0.7682590805492876,ok,128
3,dlpfc,active,FC6,0.8615856979057324,ok,128
3,dlpfc,active,CP5,0.6941114973658624,ok,128
3,dlpfc,active,CP6,0.5521740707305596,ok,128
3,dlpfc,active,TP9,0.48862991461033184,ok,128
3,dlpfc,active,TP10,0.8016049024950855,ok,128
3,dlpfc,sham,Fp1,0.7787989951302028,ok,128
3,dlpfc,sham,Fp2,0.5549665256878998,ok,128
3,dlpfc,sham,F3,0.5341743088650623,ok,128
3,dlpfc,sham,F4,0.5833635237739315,ok,128
3,dlpfc,sham,C3,0.49316746791349636,ok,128
3,dlpfc,sham,C4,0.5103079218795002,ok,128
3,dlpfc,sham,P3,0.7224934850006045,ok,128
3,dlpfc,sham,P4,0.4156129713688899,ok,128
3,dlpfc,sham,O1,0.7038930669891232,ok,128
3,dlpfc,sham,O2,0.6529521392045963,ok,128
3,dlpfc,sham,F7,0.49597406050727594,ok,128
3,dlpfc,sham,F8,0.7748012093738231,ok,128
3,dlpfc,sham,T7,0.7050876466843868,ok,128
3,dlpfc,sham,T8,0.5698378329738751,ok,128
3,dlpfc,sham,P7,0.8217626325786203,ok,128
3,dlpfc,sham,P8,0.5942536281058846,ok,128
3,dlpfc,sham,Fz,0.46702800230660896,ok,128
3,dlpfc,sham,Cz,0.6219417381635255,ok,128
3,dlpfc,sham,Pz,1.014709988520772,ok,128
3,dlpfc,sham,Iz,0.618854673627686,ok,128
3,dlpfc,sham,FC1,0.5807487385022849,ok,128
3,dlpfc,sham,FC2,0.5062494074676086,ok,128
3,dlpfc,sham,CP1,0.5111602398574725,ok,128
3,dlpfc,sham,CP2,0.6247682005477713,ok,128
3,dlpfc,sham,FC5,0.6084907848957455,ok,128
3,dlpfc,sham,FC6,0.5982688922546859,ok,128
3,dlpfc,sham,CP5,0.7952716000780973,ok,128
3,dlpfc,sham,CP6,0.5444817705228484,ok,128
3,dlpfc,sham,TP9,0.8051974912049431,ok,128
3,dlpfc,sham,TP10,0.5036144885179665,ok,128
3,m1,active,Fp1,0.6200351294859755,ok,128
3,m1,active,Fp2,0.619056018933788,ok,128
3,m1,active,F3,0.7272652607639029,ok,128
3,m1,active,F4,0.6881409718024958,ok,128
3,m1,active,C3,0.67168179013063,ok,128
3,m1,active,C4,0.6588017217973706,ok,128
3,m1,active,P3,0.7689429578482025,ok,128
3,m1,active,P4,0.646943154344018,ok,128
3,m1,active,O1,0.6663132177042019,ok,128
3,m1,active,O2,0.60748615164991,ok,128
3,m1,active,F7,0.5489597270108805,ok,128
3,m1,active,F8,0.7412142559491053,ok,128
3,m1,active,T7,0.7894521607185231,ok,128
3,m1,active,T8,0.7519319917922656,ok,128
3,m1,active,P7,0.6307605146690405,ok,128
3,m1,active,P8,0.453364790713398,ok,128
3,m1,active,Fz,0.6724303159991871,ok,128
3,m1,active,Cz,0.6449054860611928,ok,128
3,m1,active,Pz,0.7661499241494503,ok,128
3,m1,active,Iz,0.5645165767862773,ok,128
3,m1,active,FC1,0.7127957528413547,ok,128
3,m1,active,FC2,0.6152048236041011,ok,128
3,m1,active,CP1,0.6975219434589693,ok,128
3,m1,active,CP2,0.49238582178495904,ok,128
3,m1,active,FC5,0.9291308729868859,ok,128
3,m1,active,FC6,0.7573951764902759,ok,128
3,m1,active,CP5,0.6959719298707265,ok,128
3,m1,active,CP6,0.6674915442249758,ok,128
3,m1,active,TP9,0.6240738743520492,ok,128
3,m1,active,TP10,0.4384021737678467,ok,128
3,m1,sham,Fp1,0.6059519000991999,ok,128
3,m1,sham,Fp2,0.6619307832601006,ok,128
3,m1,sham,F3,0.5635268919378771,ok,128
3,m1,sham,F4,0.6617384459780633,ok,128
3,m1,sham,C3,0.6837271283430262,ok,128
3,m1,sham,C4,0.7278380317656609,ok,128
3,m1,sham,P3,0.5463709152832735,ok,128
3,m1,sham,P4,0.5391515519891606,ok,128
3,m1,sham,O1,0.5662362700689312,ok,128
3,m1,sham,O2,0.6005306838433303,ok,128
3,m1,sham,F7,0.6280931628212679,ok,128
